Organization,Street Address,City,State,Zip,$,Phys/Box
(23) HAWAII MAOLI,PO BOX 3866,HONOLULU,HI,96812,"7,240",B
(108) PAI FOUNDATION,PO BOX 17483,HONOLULU,HI,96817,"9,000",B
(3) AINA MOMONA,PO BOX 376,HOOLEHUA,HI,96729,"20,000",B
(14) CARING FOR HAWAII NEONATES,PO BOX 37182,HONOLULU,HI,96837,"20,000",B
(107) ASSOCIATION OF HAWAIIAN CIVIC CLUBS,PO BOX 1135,HONOLULU,HI,96807,"20,000",B
(61) LANAI CULTURE & HERITAGE CENTER,PO BOX 631500,LANAI CITY,HI,96763,"25,000",B
(90) SURFRIDER FOUNDATION,PO BOX 73550,SAN CLEMENTE,CA,92673,"25,000",B
(73) MOLOKAI COMMUNITY SERVICE COUNCIL,PO BOX 2047,KAUNAKAKAI,HI,96748,"30,000",B
(55) KOIHONUA,PO BOX 1229,PEARL CITY,HI,96782,"41,500",B
(95) ULUHAO O HUALALAI,PO BOX 130,HOLUALOA,HI,96725,"41,819",B
(30) HUI MAKAAINANA O MAKANA,PO BOX 1225,HANALEI,HI,96714,"50,000",B
(59) KUMANO I KE ALA,PO BOX 181,WAIMEA,HI,96796,"50,000",B
(64) LIVABLE HAWAII KAI HUI,PO BOX 25493,HONOLULU,HI,96825,"50,000",B
(68) MALAMA HULEIA,PO BOX 662092,LIHUE,HI,96766,"50,000",B
(47) KAUAHEA INC,PO BOX 966,WAILUKU,HI,96793,"60,000",B
(8) BASIC IMAGE INC,PO BOX 6988,HILO,HI,96720,"75,000",B
(28) HOOKUAAINA,PO BOX 342146,KAILUA,HI,96734,"75,000",B
(41) KAALA FARM INC,PO BOX 630,WAIANAE,HI,96792,"75,000",B
(63) LHES FOUNDATION,PO BOX 630633,LANAI CITY,HI,96763,"75,000",B
(33) HUI O KUAPA,PO BOX 486,KAUNAKAKAI,HI,96748,"77,500",B
(54) KOHALA INSTITUTE,PO BOX 344,KAPAAU,HI,96755,"100,000",B
(77) NATIVE NATIONS EDUCATION FOUNDATION,PO BOX 4278,HILO,HI,96720,"100,000",B
(84) PROJECT VISION HAWAII,PO BOX 23212,HONOLULU,HI,96823,"100,000",B
(19) FRIENDS OF THE FUTURE,PO BOX 2655,KAMUELA,HI,96743,"125,000",B
(21) HAWAII FARMERS UNION FOUNDATION,PO BOX 443,MAKAWAO,HI,96768,"127,500",B
(4) AKAULA PRIVATE SCHOOL,PO BOX 2098,KAUNAKAKAI,HI,96748,"131,400",B
(94) ULU MAU PUANUI,PO BOX 685,KAMUELA,HI,96743,"133,500",B
(65) MA KA HANA KA IKE,PO BOX 968,HANA,HI,96713,"135,000",B
(49) KE KULA OPIILANI,PO BOX 881176,PUKALANI,HI,96788,"150,000",B
(91) THE KOHALA CENTER,PO BOX 437462,KAMUELA,HI,96743,"150,000",B
(44) KANAKA AUPUNI A NIIHAU ALOHA,PO BOX 74,KEKAHA,HI,96752,"157,500",B
(50) KEAUKAHA COMMUNITY ASSOCIATION INC,PO BOX 5146,HILO,HI,96720,"160,500",B
(31) HUI MALAMA I KE ALA ULILI,PO BOX 6,PAAUILO,HI,96776,"167,959",B
(74) NA KALAI WAA,PO BOX 748,KAMUELA,HI,96743-9705,"200,000",B
(40) KA HULI O HALOA,PO BOX 1159,KANEOHE,HI,96744,"232,500",B
(22) HAWAII FOREST INDUSTRY ASSOCIATION,PO BOX 66,OOKALA,HI,96774,"291,500",B
(92) THREE MOUNTAIN ALLIANCE FOUNDATION,PO BOX 906,VOLCANO,HI,96785,"301,500",B
(69) MALAMA LEARNING CENTER,PO BOX 1662,HONOLULU,HI,96806,"380,000",B
(78) PAEPAE O HEEIA,PO BOX 6355 46-077 IPUKA ST,KANEOHE,HI,96744,"381,500",B
(99) WAIANAE COMMUNITY RE-DEVELOPMENT CORP,PO BOX 441,WAIANAE,HI,96792,"400,000",B
(45) KANU I KA PONO INC,4333 KUKUIHALE ROAD PO BOX 12,ANAHOLA,HI,96703,"437,250",B
(101) WAIPA FOUNDATION,PO BOX 1189,HANALEI,HI,96714,"447,500",B
(46) KANU O KA AINA LEARNING OHANA,PO BOX 6511,KAMUELA,HI,96743,"1,055,825",B
(18) DEPARTMENT OF EDUCATION,PO BOX 2360,HONOLULU,HI,96804,"1,240,800",B
(109) ASIAN & PACIFIC ISLANDER AM HEALTH FORUM,1 KAISER PLAZA STE 850,OAKLAND,CA,94612,"6,000",P
(103) WILCOX MEMORIAL HOSPITAL,3-3420 KUHIO HIGHWAY,LIHUE,HI,96766,"10,000",P
